"id","landuse","blue","green","p_application","n_application","Emissions (CH4) (Enteric)","Emissions (CH4) (Rice cultivation)","Emissions (CH4) (Burning crop residues)","Emissions (CH4) (Manure management)","Direct emissions (CH4) (On farm - Energy use)","Direct emissions (CH4) (Food - Energy use)","Emissions (CH4) (Savanna fires)","Emissions (CO2) (Drained organic soils (CO2))","Direct emissions (CO2) (On farm - Energy use)","Direct emissions (CO2) (Food - Energy use)","Direct emissions (N2O) (On farm - Energy use)","Direct emissions (N2O) (Food - Energy use)","Direct emissions (N2O) (Manure management)","Indirect emissions (N2O) (Manure management)","Emissions (N2O) (Savanna fires)","Direct emissions (N2O) (Crop residues)","Indirect emissions (N2O) (Crop residues)","Emissions (N2O) (Burning crop residues)","Direct emissions (N2O) (Manure on pasture)","Indirect emissions (N2O that leaches) (Manure on pasture)","Indirect emissions (N2O that volatilises) (Manure on pasture)","Emissions (N2O) (Drained organic soils (N2O))","Direct emissions (N2O) (Manure applied)","Indirect emissions (N2O) (Manure applied)","Direct emissions (N2O) (Synthetic fertilizers)","Indirect emissions (N2O that leaches) (Synthetic fertilizers)"
"66_c020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c022",11712.7071823204,0,5310,0,7.02762430939226,0,0,0,0,0.000127209718644547,0,0,184.863177359478,0.942624015156097,0,7.63258311867285e-06,0,0,0,0,0,0,0,0,0,0,0.0820371456698549,0,0,0.175609103830223,0.0394593355090209
"66_c023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c026",2500,0,4500,0,0.25,0,0,0,0,0.0015951637886093,0,0,2917.24420389206,11.8201636735949,0,9.57098273165578e-05,0,0,0,0,0,0,0,0,0,0,1.29459198488109,0,0,2.77120975424547,0.622690356442807
"66_c027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c031",1001.6155088853,4,494,0,12.4200323101777,0,0,0,0,2.21126852664486e-05,0,0,1.93976095135004,0.163854997824384,0,1.32676111598692e-06,0,0,0,0,0,0,0,0,0,0,0.000860812055724633,0,0,0.00184265837673582,0.000414045021187636
"66_c032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c033",922.66569868167,427,4110,0,10.3338558252347,0,0,0,0,0.0310762873510361,0,0,5331.0680690177,230.275289271178,0,0.00186457724106217,0,0,0,0,0,0,0,0,0,0,2.36578000011041,0,0,5.06419990952361,1.13792485102503
"66_c034",498.402555910543,0,2072,0,8.27348242811501,0,0,0,0,8.65950931174379e-05,0,0,428.51861959132,0.641669640000215,0,5.19570558704628e-06,0,0,0,0,0,0,0,0,0,0,0.1901646662131,0,0,0.407067388085968,0.0914679722800375
"66_c035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c038",1249.57206436152,0,1783,0,6.62273194111606,0,0,0,0,0.00055739345189735,0,0,1147.23004836988,4.13028547855937,0,3.3443607113841e-05,0,0,0,0,0,0,0,0,0,0,0.509108844385711,0,0,1.08980081138375,0.244878055388116
"66_c039",311.822577955644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c041",1427.99407247744,0,471,0,11.4239525798195,0,0,0,0,0.000184257005176424,0,0,254.108684626855,1.3653444083573,0,1.10554203105855e-05,0,0,0,0,0,0,0,0,0,0,0.112766379299927,0,0,0.241388247352392,0.0542398977755804
"66_c042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66_c043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
